GML-bestand: ib_aangewezen_oppervlaktewaterlichaam_aa_en_maas.gml
FRBRWork: /join/id/regdata/ws0654/2020/ib_aangewezen_oppervlaktewaterlichamen_aa_en_maas

Locatie: cbb3de54-87f9-4324-be3f-38ce464a79cf
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 5c8da032-7461-43e5-943b-4551e2743e31
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: fe872bf0-692c-43c9-937e-856215134c4e
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 149b6e9e-a40b-426f-8d61-55b9b60304f6
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 30714e4e-c444-4a0c-89c4-1f5bb52de3fc
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 21df2bb9-5756-48d0-9585-ac5dba88b4fd
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ecfbbf58-6b2a-449a-a51f-f55e318142d1
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b3d62b30-0062-4abf-9e62-6acb489e3244
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: e883f431-83d0-4e70-a182-403d1e97da64
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 3224a5c4-c8fa-4c3a-ba5c-c772bea2f59d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: e41e0b03-d5b5-49eb-8e43-80ba06bdef70
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 53b409a3-c034-4e58-8527-3309d13b1129
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: d44ea7ae-0154-4e19-9f38-acbc7fa59ddc
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 008d60c9-5ed8-4dd3-8869-33578281991c
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c87911ed-1a29-4bc1-8789-97c30687eef7
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c480d9ba-1d2c-42ec-a65a-94bf2a652f31
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: a3b2dc2d-d03d-4d94-9f40-8ed83ac2ab1f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 1e203bb5-57d1-4351-b6f2-44bf898ef355
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b927f765-7b3f-4ca8-b718-483c41cf6bde
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 0d8deb10-8e49-47ad-bacc-fdbd95c88e30
srsName: onbekend
GML-type: onbekend

Locatie: b4233642-5523-4c93-ac11-b83110bb68df
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 25d90d3b-1492-47b3-b7ed-74a37ea508ff
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 0f909f7b-eb2e-4f59-9e1d-4811c505af65
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 8926da2f-1711-45f0-af1b-33205aa7a6a1
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: acda6921-43e5-46b8-8812-0e285b5f2afd
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 032786e0-5b9a-4c4c-8e93-7b5dc360c1fb
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 3f5d5419-9d9f-4822-9c32-f49831a28d1d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
