GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_amstel_gooi_en_vecht.gml
FRBRWork: /join/id/regdata/ws0155/2020/ib_aangewezen_oppervlaktewaterlichamen_amstel_gooi_en_vecht

Locatie: 0f66ed4e-42bd-4dc2-97e1-e8504231cceb
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 672b6646-c4b5-476c-b7b3-e9c2994366d9
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 0f958588-e7d5-4a43-922e-93b67cc6fffb
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: d5a7bad6-8421-4b01-b854-78b930c71dd4
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c7517d99-c644-49ef-abc1-9622d965a93b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 78f3a6d4-ccb4-41f6-b5da-22634aaa2783
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 7edd7d08-c66a-447e-891a-0634c2069997
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ab145d79-8aac-4d51-a88b-cac8a17a6191
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b613529c-8152-48b2-8229-81914de61cf9
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 9b334516-433e-4e76-9ba0-dc7e6a11b1da
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 7758b406-9ed5-42c2-b73d-7a8c42d75422
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b4c1ea9f-6974-40d0-b02c-64506b42f6f5
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 82ff08de-8f36-4363-9ba8-fd24e8651564
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: aabdc1ba-cf77-49ed-8a9e-98337ffaee04
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

