GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_de_dommel.gml
FRBRWork: /join/id/regdata/ws0539/2020/ib_aangewezen_oppervlaktewaterlichamen_de_dommel

Locatie: d8e96962-a436-41e3-a1d3-b2c3bb0377f2
srsName: onbekend
GML-type: onbekend

Locatie: d29dbde5-45a4-44b8-ac4f-f6d5fa09cf3c
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 37d38084-5e92-4e00-8693-baad681ad3bd
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 5670e2de-9d4e-4f55-8e81-f1fd6d7b751b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: a9bf9255-e30b-4c3a-8d54-1877b437d50d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 93f519a2-c7ec-44b5-8258-f2c80d36e8e2
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 631afe11-209d-4d57-b78e-672a6fa1f885
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: eb348f37-275c-41dc-bac6-cfeddf8ee944
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 625fbaaa-7fff-44b3-99bd-60cf8e9ef43a
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 405a190b-1ed6-40ef-ab8f-f91400bd3e77
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 5070cc56-f8b7-47a1-be18-414f384509b8
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
