GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_de_stichtse_rijnlanden.gml
FRBRWork: /join/id/regdata/ws0636/2020/ib_aangewezen_oppervlaktewaterlichamen_stichtse_rijnlanden

Locatie: 84443d8c-0666-4850-9fa0-48a2865fed88
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 9d7dd4fd-88a3-494d-b44f-e675c7b9732a
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b05101e5-7ba7-4c9d-83b6-eaf4240f51df
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: f0174b93-3bf0-48f3-8090-9fe3226ff33d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: e5bc87e8-e23b-46e1-a422-b46dbfa7b5e7
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 5b4de8fb-5a8e-4580-bf39-14109da05aac
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: a2243227-d357-4d51-8546-b20336983da5
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ee4424b2-884f-4b9a-9fb4-515eeeab8d03
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 740f2f39-48a5-4c97-a470-4b6d8cc10f82
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 358e335a-24a9-462c-a3f5-ab8ff387e070
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 0bb67458-59f2-4ed1-af46-881a392359cd
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 11de2bf1-097d-4040-ae9b-a4fa5d135226
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: f76cccd1-8311-4500-862a-896eeb21ccd0
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 92ac8ddb-73b3-4d51-a319-1a06e86c72fc
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b04b3a70-6d7a-49b1-a3ec-864bdad89b1c
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 622a5776-8a75-45b4-8fe1-67e9c78a3373
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 713ddfe6-d465-4c9a-9e65-7c8da3b84e4b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ac8e4675-2d94-4a2b-a36b-03ee20061c51
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: aee9fe1b-c008-4e8c-9b8b-4071f592dca9
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 608472dd-0e30-4e28-aef1-0924931bb6b4
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b24e69f2-a15c-45a4-a1a1-888a46b6e95d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
