GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_drents_overijsselse_delta.gml
FRBRWork: /join/id/regdata/ws0664/2020/ib_aangewezen_oppervlaktewaterlichamen_drents_overijsselse_delta

Locatie: 002401d6-b335-4917-b659-1120bfc12c20
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 94d0f1eb-1c66-4259-8a14-87b52812494b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 70ccc5a5-4ed3-4a4e-837e-7a231059fe58
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 8bb338be-911e-40d3-bf72-9751dc6c893d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 35ec2989-be81-4d80-b99b-14361662a06b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 2d3da0d1-f146-44a1-8367-57b9a4dc536c
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 559fa356-1c9c-4bb9-b87c-11852622ec85
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 1359242d-e9a5-429a-9a90-4a2cd06e593b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 69ae6a0a-b5ee-4b75-a322-4dc765cea645
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: f10df8f4-9216-4e37-bbfe-9d68f99bc1d7
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 45da3862-0bbc-4841-ab90-12c3d434ad22
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 71373d7a-6657-4a0e-a508-28c65ccf0bdd
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c5e75eba-fca0-4f3d-8d8e-75d87b41301b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 671901ec-a2f4-4c18-b138-5b1769ee8473
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ef0725e9-2b4d-469e-825a-0b34e425b6d9
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 0cd8bbe3-6bef-4e24-89d0-6c883b845d91
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 46469df5-d4a8-4956-9ca4-74c1b4e634d5
srsName: onbekend
GML-type: onbekend

Locatie: 89ed4f10-b74d-49e5-a594-180f4804e96b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 84cb2e0a-e4a3-44f2-a99b-f55b746af200
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 71c5e8f4-6e1e-4b7f-9b52-eb6cb104e035
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 7c218ce6-9f4f-4aa7-98ce-ab82a1ff383d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 772e03e4-964b-4fe4-a472-edb6e1ce9a75
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ccc59584-4297-4796-a84b-7610616f5f20
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 8285bc24-314a-4fd1-ba8a-8fa72eab0306
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
