GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_hollandse_delta.gml
FRBRWork: /join/id/regdata/ws0655/2020/ib_aangewezen_oppervlaktewaterlichamen _hollandse_delta

Locatie: 4afc9a4e-edda-48b4-ba33-01e1ecd93ed2
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 25f15ce8-cd97-46c3-aff0-edad5bdfb9a2
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 77a4c21a-ec5f-45c1-9271-07103c420d40
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 1f1f169b-c8a9-4d76-b648-3cba804f8f4f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 309bd3fb-b10b-4a1c-9a58-faa9b08dde87
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 16e48aa7-ee9e-4e95-a194-db1cf3e10a66
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 5a2190d2-cf12-4e92-a6f6-47fd734a3826
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 1003f175-c76f-4fac-a536-6501019644a1
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 89b786ae-07a6-437e-891a-667ce72dde13
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 57532840-ba1f-4b6e-9f00-ae254da5598d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
