GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_hunze_en_aas.gml
FRBRWork: /join/id/regdata/ws0646/2020/ib_aangewezen_oppervlaktewaterlichamen _hunze_aas

Locatie: 7528a8ed-6d26-49d4-9ad2-637aa135d79a
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 66c92c94-4292-410f-bea9-881450311972
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: fb2eff87-2f7e-4742-801c-13e43db279ae
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: a99fa670-1569-4ce0-9a67-aab94e78755b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 69083cb2-1e9d-4fe7-a4bb-5c714be89e69
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 737ca9fa-b467-4b28-97e0-3b27cb70bf9d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 794e4c2c-e134-483c-a08e-c5f3ec9f9518
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: fe233098-9546-4032-a7ed-5853a8622028
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 38bd297b-e81d-45e0-a3f4-0b94bbf89388
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: d2188c18-27c0-42a4-9530-96ff952f4b8d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: a0268901-a4f3-4d64-b6c5-918648ff3c9c
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c825c8f1-3fb8-43e0-ae04-a176a839f876
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 0a049a3f-b9de-4ed5-8e6e-9deb9ee99035
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b573acfa-8e45-4e3f-b90a-bb163f28b931
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 4c4db493-f563-4963-bbd0-a6f75e7c60b8
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: a843bea7-e79f-4c89-bb01-7ffce14eb59f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 14a76d3c-451c-4965-a07a-b18f82ba9db1
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 40ef38ab-e5b1-4189-bab5-fa4ebf283487
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 9fe50219-fdfe-47c8-88c4-84d67a838da4
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: fc1b120d-9c40-4c4f-a16e-325aa61f4f5f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 3f526cd6-126f-48c9-891b-defaf63887c7
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 9db91131-f178-438f-af69-af20f594b567
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 5cf4c939-53f3-4eaa-a4e6-4f419706f090
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 93eb9545-4e63-4315-9c98-130214717106
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 27a594c0-644e-4e03-bf7d-dc947d814c75
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 15b7668d-ada2-4070-93a9-821bc8c765ad
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 090480d2-0580-4862-985b-7cb222ef58d7
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
