GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_rijn_en_ijssel.gml
FRBRWork: /join/id/regdata/ws0152/2020/ib_aangewezen_oppervlaktewaterlichamen_rijn_ijssel

Locatie: 69e64af4-f469-4037-bfc1-df55ed2621f2
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 4dbcb140-d70e-4738-ad49-571630fb246a
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 80003de4-7c50-4782-ba1b-29d5ee8ea88f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c8fb3e49-ff18-4620-8d47-acadd819599e
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 59a8c7a8-6bff-4cee-9bf1-21c6cade8f9b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 4c5738fa-2523-4318-a3da-31e5e4505c10
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 23fef111-be45-470d-96c1-f0cbb1deccf3
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 20d0b924-fc09-460f-a006-fbb8c14a7673
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: e6c940c9-a3d1-46ba-9afe-76984c8d9619
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: cd8ed553-68df-45ce-9d5a-e218172e6d52
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: e1717bb2-16d6-4ac9-b953-5cd12361bc92
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 67a52637-39b0-428a-b415-a4e3ecf44f84
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 6e06b497-0893-48d2-9b56-e3f3b921470b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 969d5596-8d9c-4e82-85f2-70f498cfac74
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c357021d-3b62-48d7-81d1-6d40770d6a62
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c5365b3d-ca38-458d-9675-f28ce7a13e1b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ce60a869-aa04-4731-af62-627b0e1f3e77
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 827f5dbc-30c3-4812-88e3-1b5c33af86ea
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 67c209ff-7828-47ff-8b68-9aae39669bfd
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 06218394-bf42-4c1f-9bcf-29c45b46449e
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 08432c3b-0ef9-44ef-b157-5f6681dadf1b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
