GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_rijnland.gml
FRBRWork: /join/id/regdata/ws0616/2020/ib_aangewezen_oppervlaktewaterlichamen_rijnland

Locatie: f79a7755-8819-4234-96ca-76655e258c9b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 8c406bfb-e7b0-4e3e-8b8f-85112c8abbae
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 9c6475f6-c7e4-4553-b4cd-caabd95856ef
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 40c10aac-fb72-4f6f-989f-86dbffe0433a
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 28d81f30-2ca0-4b8b-b82f-5a884c0f194a
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 08d20174-1f8d-4ae2-8bea-ef0423051c14
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 987e92c0-f314-481f-8828-a6aecd511cf8
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ddaf4d58-f875-4592-a82d-93c9596f2c37
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 284fb0a8-b219-456a-b782-0deb31d72d20
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
