GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_vechtstromen.gml
FRBRWork: /join/id/regdata/ws0663/2020/ib_aangewezen_oppervlaktewaterlichamen_vechtstromen

Locatie: 40c6dcb3-e744-497a-9406-f44b87dfef55
srsName: onbekend
GML-type: onbekend

Locatie: c1663063-5e26-41bd-8bb5-a6a7cd025931
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 5f798f27-60bc-43cd-ab71-1b6c9baa1476
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 672cf669-53d7-46ac-9096-5d68f9dba736
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 09e730ff-c6c4-4c28-8dee-7f4bed3b7eb4
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: ddf51a3b-6e19-4b9b-ae17-f26370f0ec2f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 70767e2b-4d84-4dc9-8f46-74baf7ee48f0
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 04d5109f-d3b4-49b2-86d7-938ec8235f39
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b7ad403b-3e98-4add-b1f5-4e17330b6de9
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 8d3c0e0d-89c3-4c0b-94c1-45aa0a380864
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c1fc5a54-79e1-4524-8afe-f65df192a82a
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 59623dfa-c189-4b1d-922c-d409666affac
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 3441dec3-0fc0-4239-ae9b-9af8a65d7bcb
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
