GML-bestand: ib_aangewezen_oppervlaktewaterlichamen_zuiderzeeland.gml
FRBRWork: /join/id/regdata/ws0650/2020/ib_aangewezen_oppervlaktewaterlichamen_zuiderzeeland

Locatie: ccd539c3-20c8-4860-80ae-4ab5ef427889
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 03750a31-3dfc-4187-8418-8b9f32e49ead
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 8dec8f51-e0b6-42fb-8aa3-95fc8ea90ae8
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 99a55836-9587-45bc-b0a2-bf4643170528
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 4f293597-b1e8-4706-879a-ec691df2fe2d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: b96c9a38-f4e4-4ab3-9dad-4482fa008758
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 8afd069d-734e-4177-8bf8-71a47d6a4a4f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 3b1e74ce-d214-4f37-abcf-917c8ed997c0
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 55f2c9e7-fd29-4390-bb09-21c00d7af45e
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: f37dab42-dbb4-4dbe-a87b-77186e4451a4
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: c2a23cb5-e1a9-4f4a-abf3-0bf5fab60a0d
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: da3ed52a-025d-43f1-a66b-e5865d39d686
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 2fe653a6-019b-4070-9afa-e3a8db572d4b
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 3c8365e8-e4c9-4163-9c61-f6e95bd9b5e5
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 95c82ae2-14fe-4dc1-91b2-ec53c3552935
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 2e593d30-cef0-4d47-a228-a2ffefdfd539
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: aa8ce111-9194-49a6-b9dc-cad39799099f
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: aa499dd4-f764-488d-a131-d4ac8f32f7bb
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: 4a82d426-0638-4652-94a1-bda7765aa203
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: dbcd15a3-b408-4125-a401-b5bc769e5de3
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface

Locatie: f356fb89-7b5e-495e-b74c-671601bc40fc
srsName: urn:ogc:def:crs:EPSG::28992
GML-type: MultiSurface
